algo,env,dataset,env_d4rl_name,guidance_scale,target_return,stage,n_seeds,minari_score_mean,minari_score_std,raw_return_mean,raw_return_std,d4rl_equiv_mean,d4rl_equiv_std,paper_d4rl_score,paper_source,delta_d4rl_equiv_minus_paper,notes
bc,halfcheetah,medium,halfcheetah-medium-v0,,,full,3,94.372,0.4,15328.739,64.976,125.724,0.523,42.6,"D4RL paper, Fu et al. 2020 (also CORL reproduction)",83.124,
bc,halfcheetah,expert,halfcheetah-expert-v0,,,full,3,104.257,1.075,16934.349,174.606,138.657,1.406,91.8,"D4RL paper, Fu et al. 2020 (also CORL reproduction)",46.857,
bc,hopper,medium,hopper-medium-v0,,,full,3,89.222,5.603,3442.022,216.148,106.382,6.641,52.9,"D4RL paper, Fu et al. 2020 (also CORL reproduction)",53.482,
bc,hopper,expert,hopper-expert-v0,,,full,3,105.944,0.527,4087.096,20.337,126.203,0.625,107.7,"D4RL paper, Fu et al. 2020 (also CORL reproduction)",18.503,
bc,walker2d,medium,walker2d-medium-v0,,,full,3,89.091,0.295,6100.777,20.177,132.86,0.44,75.3,"D4RL paper, Fu et al. 2020 (also CORL reproduction)",57.56,
bc,walker2d,expert,walker2d-expert-v0,,,full,3,101.258,0.326,6933.91,22.35,151.008,0.487,107.5,"D4RL paper, Fu et al. 2020 (also CORL reproduction)",43.508,
cql,halfcheetah,medium,halfcheetah-medium-v0,,,full,3,55.677,16.064,9043.553,2609.321,75.099,21.017,44.0,"CQL paper, Kumar et al. 2020 / CORL reproduction",31.099,
cql,halfcheetah,expert,halfcheetah-expert-v0,,,full,3,35.415,17.087,5752.453,2775.387,48.591,22.355,91.6,"CQL paper, Kumar et al. 2020 / CORL reproduction",-43.009,
cql,hopper,medium,hopper-medium-v0,,,full,3,92.655,0.278,3574.465,10.712,110.452,0.329,58.5,"CQL paper, Kumar et al. 2020 / CORL reproduction",51.952,
cql,hopper,expert,hopper-expert-v0,,,full,3,103.538,3.277,3994.303,126.425,123.352,3.885,105.6,"CQL paper, Kumar et al. 2020 / CORL reproduction",17.752,
cql,walker2d,medium,walker2d-medium-v0,,,full,3,90.686,0.425,6210.013,29.076,135.239,0.633,72.5,"CQL paper, Kumar et al. 2020 / CORL reproduction",62.739,
cql,walker2d,expert,walker2d-expert-v0,,,full,3,68.558,40.316,4694.744,2760.768,102.232,60.139,108.8,"CQL paper, Kumar et al. 2020 / CORL reproduction",-6.568,
iql,halfcheetah,medium,halfcheetah-medium-v0,,,full,3,86.263,9.952,14011.68,1616.45,115.116,13.02,47.4,"IQL paper, Kostrikov et al. 2021, Table 1",67.716,
iql,halfcheetah,expert,halfcheetah-expert-v0,,,full,3,99.573,5.995,16173.633,973.824,132.53,7.844,95.5,"IQL paper, Kostrikov et al. 2021, Table 1",37.03,
iql,hopper,medium,hopper-medium-v0,,,full,3,85.373,8.551,3293.542,329.886,101.82,10.136,66.3,"IQL paper, Kostrikov et al. 2021, Table 1",35.52,
iql,hopper,expert,hopper-expert-v0,,,full,3,104.597,1.273,4035.15,49.091,124.607,1.508,113.3,"IQL paper, Kostrikov et al. 2021, Table 1",11.307,
iql,walker2d,medium,walker2d-medium-v0,,,full,3,91.068,0.496,6236.175,33.986,135.809,0.74,78.3,"IQL paper, Kostrikov et al. 2021, Table 1",57.509,
iql,walker2d,expert,walker2d-expert-v0,,,full,3,70.027,41.084,4795.336,2813.335,104.423,61.284,110.4,"IQL paper, Kostrikov et al. 2021, Table 1",-5.977,
dt,halfcheetah,medium,halfcheetah-medium-v0,,6000.0,full,3,67.161,12.427,10908.924,2018.5,90.124,16.258,42.6,"Decision Transformer paper, Chen et al. 2021, Table 2",47.524,
dt,halfcheetah,medium,halfcheetah-medium-v0,,12000.0,full,3,84.63,2.485,13746.449,403.681,112.98,3.252,42.6,"Decision Transformer paper, Chen et al. 2021, Table 2",70.38,
dt,halfcheetah,expert,halfcheetah-expert-v0,,6000.0,full,3,79.911,11.757,12979.855,1909.663,106.805,15.382,91.0,"Decision Transformer paper, Chen et al. 2021, Table 2",15.805,
dt,halfcheetah,expert,halfcheetah-expert-v0,,12000.0,full,3,96.864,2.999,15733.603,487.056,128.986,3.923,91.0,"Decision Transformer paper, Chen et al. 2021, Table 2",37.986,
dt,hopper,medium,hopper-medium-v0,,1800.0,full,3,81.814,5.738,3156.205,221.377,97.6,6.802,67.6,"Decision Transformer paper, Chen et al. 2021, Table 2",30.0,
dt,hopper,medium,hopper-medium-v0,,3600.0,full,3,92.56,0.338,3570.777,13.042,110.339,0.401,67.6,"Decision Transformer paper, Chen et al. 2021, Table 2",42.739,
dt,hopper,expert,hopper-expert-v0,,1800.0,full,3,102.035,3.329,3936.303,128.425,121.57,3.946,110.6,"Decision Transformer paper, Chen et al. 2021, Table 2",10.97,
dt,hopper,expert,hopper-expert-v0,,3600.0,full,3,100.418,1.056,3873.91,40.75,119.653,1.252,110.6,"Decision Transformer paper, Chen et al. 2021, Table 2",9.053,
dt,walker2d,medium,walker2d-medium-v0,,2500.0,full,3,87.761,1.087,6009.708,74.43,130.876,1.621,74.0,"Decision Transformer paper, Chen et al. 2021, Table 2",56.876,
dt,walker2d,medium,walker2d-medium-v0,,5000.0,full,3,88.444,1.055,6056.475,72.247,131.895,1.574,74.0,"Decision Transformer paper, Chen et al. 2021, Table 2",57.895,
dt,walker2d,expert,walker2d-expert-v0,,2500.0,full,3,100.282,0.173,6867.128,11.819,149.553,0.257,108.1,"Decision Transformer paper, Chen et al. 2021, Table 2",41.453,
dt,walker2d,expert,walker2d-expert-v0,,5000.0,full,3,100.76,0.237,6899.854,16.213,150.266,0.353,108.1,"Decision Transformer paper, Chen et al. 2021, Table 2",42.166,
dql,halfcheetah,medium,halfcheetah-medium-v0,,,full,3,95.013,0.416,15432.865,67.605,126.563,0.545,51.1,"Diffusion-QL paper, Wang et al. 2023, Table 1",75.463,
dql,halfcheetah,expert,halfcheetah-expert-v0,,,full,3,98.441,4.575,15989.742,743.041,131.049,5.985,96.8,"Diffusion-QL paper, Wang et al. 2023, Table 1",34.249,
dql,hopper,medium,hopper-medium-v0,,,full,3,43.272,5.34,1669.345,206.007,51.915,6.33,90.5,"Diffusion-QL paper, Wang et al. 2023, Table 1",-38.585,
dql,hopper,expert,hopper-expert-v0,,,full,3,93.113,7.218,3592.136,278.458,110.995,8.556,111.1,"Diffusion-QL paper, Wang et al. 2023, Table 1",-0.105,
dql,walker2d,medium,walker2d-medium-v0,,,full,3,90.495,0.229,6196.887,15.705,134.953,0.342,87.0,"Diffusion-QL paper, Wang et al. 2023, Table 1",47.953,
dql,walker2d,expert,walker2d-expert-v0,,,full,3,101.11,0.258,6923.837,17.667,150.789,0.385,110.1,"Diffusion-QL paper, Wang et al. 2023, Table 1",40.689,
eda,halfcheetah,medium,halfcheetah-medium-v0,,,finetune,3,-240.799,178.045,-39112.838,28919.774,-312.784,232.939,56.7,"Efficient Diffusion Alignment paper, Chen et al. 2024",-369.484,
eda,halfcheetah,expert,halfcheetah-expert-v0,,,finetune,3,-4.645,2.929,-754.45,475.717,-3.82,3.832,94.5,"Efficient Diffusion Alignment paper, Chen et al. 2024",-98.32,
eda,hopper,medium,hopper-medium-v0,,,finetune,3,-0.363,0.85,-14.021,32.803,0.192,1.008,76.5,"Efficient Diffusion Alignment paper, Chen et al. 2024",-76.308,
eda,hopper,expert,hopper-expert-v0,,,finetune,3,0.695,0.518,26.799,19.989,1.446,0.614,112.7,"Efficient Diffusion Alignment paper, Chen et al. 2024",-111.254,
eda,walker2d,medium,walker2d-medium-v0,,,finetune,3,-0.265,0.111,-18.173,7.584,-0.431,0.165,83.0,"Efficient Diffusion Alignment paper, Chen et al. 2024",-83.431,
eda,walker2d,expert,walker2d-expert-v0,,,finetune,3,-0.204,0.093,-13.98,6.375,-0.34,0.139,109.3,"Efficient Diffusion Alignment paper, Chen et al. 2024",-109.64,
